id,name,glottocode,contributors__ids,description,lineages__id,latitude,longitude,region,2nd_languages
shg-da,Shua/Danisi,dani1286,,Shua is a Khoe-Kwadi  language spoken by about 2000 native speakers mainly in Botswana. It is represented here in a linguistic transcription (Fehn)[fehnnotes].,khoekwadi,-20.2,25.3,Southern Africa,eng;tsn;kck
shg-de,Shua/Deti,deti1240,,Shua is a Khoe-Kwadi  language spoken by about 2000 native speakers mainly in Botswana. It is represented here in a linguistic transcription (Fehn)[fehnnotes].,khoekwadi,-21.2,24.9,Southern Africa,eng;tsn;kck
sid,Sidamo,sida1246,,Sidamo is a Highland East Cushitic language spoken by about 3 million speakers in central Ethiopia.,cushitic,6.74,38.37,Eastern Africa,eng;amh;orm;som
sid,Sidamo,sida1246,,"Sidamo (Sidaamu Afoo, Sidaminya) is a Highland East Cushitic language  spoken in southwestern Ethiopia by 12 million native speakers. In the orthography used by Hudson 1989 (cf. p. 5), where forms and grammatical information for Sidamo are partly based on Yri 1984 and Gasparini 94 and therefore not always consistent, long vowels and consonants are doubled, ’ following stops and preceding resonants marks glottalisation, c j = alveo-palatal affricates, sh = alveo-palatal sibilant, ñ = palatal nasal.",,6.74,38.37,,
sna,Shona,shon1251,,Shona (chiShona) is a Bantu  language spoken by about 10 million native speakers mainly in Zimbabwe and Mozambique. It is represented here in the standard orthography.,bantoid,-18.0,30.8,Eastern Africa,eng
som,Somali,soma1255,,"Somali is an Lowland Eastern Cushitic language and spoken by about 15 million speakers mainly in Somalia, Ethiopia and Kenya.",cushitic,4.5,45.3,Eastern Africa,eng;swh;orm
som,Somali,soma1255,,"Somali is a Lowland East Cushitic language spoken in Somalia, Djibouti, Ethiopia and Kenya by 15 million native speakers (2015). In Zorc/Osnan 2002 (cf. pp. viii, xvi), nominal declensions are distinguished based on plural formation (0 = no plural, 8 = irregular plural); ’ = glottal stop, long vowels and consonants are doubled; the pronunciation of dh kh sh is not indicated.	",,4.78,45.15,,
sot,Southern Sotho,sout2807,,"Southern Sotho (Sesotho, Sotho) is a Bantu  language spoken by about 6 million native speakers mainly in South Africa and Lesotho. It is represented here in the standard orthography.",bantoid,-28.9,28.0,Southern Africa,eng;tsn;zul;afr
ssw,Swati,swat1243,,,bantoid,-26.5,31.3,Southern Africa,eng;zul;tso
suk,Sukuma,suku1261,,,bantoid,-3.4,32.3,Eastern Africa,eng;swh
swh,Swahili,swah1253,,,bantoid,-6.2,39.4,Eastern Africa,eng;por
toh,Gitonga,gito1238,,,bantoid,-23.7,35.15,Eastern Africa,eng;por;tso;swh
toi,Tonga,tong1318,,"dictionary includes information from 5 dialects: plateau, ila, valley, we, mukuni.",bantoid,-16.8,27.2,Eastern Africa,eng;sna;swh
tsc,Tswa,tswa1255,,,bantoid,-22.4,34.4,Eastern Africa,eng;tso;sna;swh
tsn,Tswana,tswa1253,hk,Tswana (Setswana) is a Bantu  language spoken by about 6 million native speakers mainly in South Africa and Botswana. It is represented here in the standard orthography.,bantoid,-25.7,25.45,Southern Africa,eng;sot;zul;afr
tso,Changana,tson1249,,,bantoid,-23.1,32.3,Eastern Africa,eng;zul;nso;swh
tum,Tumbuka,tumb1250,,,bantoid,-11.3,33.5,Eastern Africa,eng;nya;yao;swh
txk,Ts'ixa,,,Ts'ixa is a Khoe-Kwadi  language spoken by probably less than 1000 native speakers in Botswana. It is represented here  in a linguistic transcription (Fehn)[fehnnotes].,khoekwadi,-19.2,24.0,Southern Africa,eng;tsn;kck
umb,Umbundu,umbu1257,,,bantoid,-12.9,14.4,Middle Africa,eng;kmb;kua;por
ven,Venda,vend1245,,,bantoid,-22.6,29.6,Southern Africa,eng;afr;zul;tso;sna
vmw,Makhuwa,makh1264,,,bantoid,-14.6,39.1,Eastern Africa,eng;por;yao;swh
xam,ǀXam†,xamm1241,,ǀXam was a language cluster belonging to the Tuu family in current South Africa and became extinct in the early 20th century. It is represented here in a linguistic transcription.,tuu,-30.8,20.4,Southern Africa,eng;afr;ngh-w
xeg,ǁXegwi†,xegw1238,,,tuu,-26.6,29.9,Southern Africa,eng;afr;zul;nso
xho,Xhosa,xhos1239,,Xhosa (isiXhosa) is a Bantu language spoken by about 8 million native speakers mainly in South Africa. It is represented here in the standard orthography.,bantoid,-31.6,28.0,Southern Africa,eng;zul;sot;afr
xkv,Kgalagadi,kgal1244,,"Kgalagadi (Shekgalagadi, Kalahari, Qhalaxarzi) is a Bantu  language spoken by about 40 000 native speakers mainly in Botswana. It is represented here in a linguistic transcription (Dickens 1986) [dickens1986].",bantoid,-24.1,23.8,Southern Africa,eng;tsn;kck;afr
xuu-a,Khwe/ǁAni,anii1247,,"Khwe (Khwedam, Kxoe) is a Khoe-Kwadi  language spoken by about 8000 native speakers mainly in Namibia, Botswana and Angola. It is represented here as given in Kilian-Hatz (2003) [kilianhatz2003].",khoekwadi,-18.4,21.8,Southern Africa,eng;tsn;afr
xuu-b,Khwe/Buga,buga1248,,"Khwe (Khwedam, Kxoe) is a Khoe-Kwadi  language spoken by about 8000 native speakers mainly in Namibia, Botswana and Angola. It is represented here as given in Kilian-Hatz (2003) [kilianhatz2003].",khoekwadi,-18.8,22.9,Southern Africa,eng;tsn;afr
xuu-k,Khwe/Caprivi,kxoe1243,,"Khwe (Khwedam, Kxoe) is a Khoe-Kwadi  language spoken by about 8000 native speakers mainly in Namibia, Botswana and Angola. It is represented here as given in Kilian-Hatz (2003) [kilianhatz2003].",khoekwadi,-17.9,22.7,Southern Africa,eng;tsn;afr
yao,Yao,yaoo1241,,,bantoid,-12.6,36.2,Eastern Africa,eng;por;nya;vmw;swh
yey,Yeyi,yeyi1239,,,bantoid,-19.5,22.4,Southern Africa,eng;tsn;her;mhw;ktz
zne,Zande,zand1248,,Zande is a Zandic language spoken by more than 1 million speakers in eastern Central African Republic and in northeastern parts of DR Congo. ,zandic,4.62,26.72,Middle Africa,eng;fra;sag
zul,Zulu,zulu1248,,Zulu (isiZulu) is a Bantu  language (S42) spoken by about 10 million native speakers mainly in South Africa. It is represented here in the standard orthography.,bantoid,-28.5,30.6,Southern Africa,eng;xho;sot;afr
